,Medal,Event_Count,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Male_Percentage,is_Host?
JOR,2.0,10.089468527388112,0.0,0.0,0.0,0.8478255142516274,0.9769736523877055,0.0,0.0,0.0,0.0,76.76882978920986,0
JPN,95.0,214.89519539454415,0.0,36.18765083644378,1.1932942295832218,4.37212018856659,6.647002215818366,62.4656970329734,5.8873394849924345,0.0,0.38475646704984356,52.17974698327408,0
KAZ,12.0,88.75885224786983,0.0,3.9999846147503675,0.0,0.35817078621285414,1.6777267331315007,17.497463612010865,0.0,0.0,-0.8718388695654375,76.6607375647547,0
KEN,19.0,24.64326827500213,0.0,0.0,0.0,-4.824558165895705e-06,0.0,19.67134179373258,0.0,0.0,0.0,48.02550311290866,0
KGZ,8.0,17.0,0.0,0.0,0.0,-4.824558165895734e-06,0.0,8.154121363830962,0.0,0.0,0.0,70.36460806318263,0
KIR,0.0,3.0,0.0,0.0,0.0,-4.824558165895731e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
KOR,62.0,115.68584840488656,0.0,1.2187980043388764,0.0,25.06160677930118,0.9512498513872178,37.714862597869704,2.556230306252222,0.0,0.3910947480308277,47.10681436408042,0
KOS,3.000000000021066,10.846302282791981,0.0,0,0.0,-4.8245581658957205e-06,0,3.9999957845314555,0.0,0.0,0,41.36659884349703,0
KSA,0.0,10.867884978074088,0.0,0.0,0.0,-4.824558165895697e-06,1.9719058025504541,0.15384610628734385,0.0,0.0,-0.053695647359886974,83.86456373493434,0
KUW,0.0,8.047836780907321,0.0,0.0,0.0,-4.824558165895688e-06,0.0,0.38878261090451754,0.0,0.0,0.0,61.03545030793411,0
LAO,0.0,3.966200585086966,0.0,0.0,0.0,-4.824558165895686e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
LAT,4.440892098500626e-16,23.831458225626374,0.0,0.5948736472741966,0.0,-4.824558165895697e-06,2.957272075537226,-0.38682847592038355,0.0,0.0,1.8912478254616771,54.053917854358815,0
LBA,0.0,5.268570044711862,0.0,0.0,0.0,-4.824558165895695e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
LBN,0.0,0,0.0,0.0,0,-4.824558165895707e-06,0.0,0,0.0,0,0.0,0,0
LBR,0.0,3.892535880888077,0.0,0.0,0.0,-4.824558165895688e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
LCA,4.999999999999999,4.486397911479189,0.0,0.0,0.0,-4.824558165895734e-06,0.0,4.999979410303233,0.0,0.0,0.0,65.00201710005206,0
LES,0.0,4.582268474659834,0.0,0.0,0.0,-4.824558165895697e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
LIB,0.0,8.086009200440577,0.0,0.0,0.0,-4.824558165895714e-06,0.0,0.15785662730970476,0.0,0.0,0.0,0.0,0
LIE,0.0,1.9393741046500477,0.0,0.0,0.0,-4.824558165895713e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
